id,suhu,kelembapan,gas,waktu
204,26.1,61,213,2025-07-02 10:36:21.41604+00
205,26.2,61,214,2025-07-02 10:36:56.988905+00
206,26.3,61,214,2025-07-02 10:37:12.220719+00
207,26.3,60,187,2025-07-02 10:37:44.471289+00
208,26.3,60,184,2025-07-02 10:37:59.9837+00
209,26.3,60,229,2025-07-02 10:38:32.171826+00
210,26.4,61,199,2025-07-02 10:38:47.482682+00
211,26.4,61,201,2025-07-02 10:39:19.642499+00
212,26.4,60,204,2025-07-02 10:39:34.995052+00
213,26.4,60,206,2025-07-02 10:40:07.165782+00
214,26.3,60,206,2025-07-02 10:40:22.51194+00
215,26.2,60,202,2025-07-02 10:40:54.586625+00
216,26.2,60,196,2025-07-02 10:41:09.916114+00
217,26.1,60,214,2025-07-02 10:41:42.475549+00
218,26.1,60,210,2025-07-02 10:41:57.271758+00
219,26.1,60,208,2025-07-02 10:42:29.402343+00
220,26.1,60,208,2025-07-02 10:42:44.704574+00
221,26.1,60,208,2025-07-02 10:43:17.129034+00
222,26.1,60,207,2025-07-02 10:43:32.456725+00
223,26.2,60,213,2025-07-02 10:44:04.53549+00
224,26.2,60,214,2025-07-02 10:44:19.875457+00
225,26.2,60,209,2025-07-02 10:44:52.171839+00
226,26.2,61,212,2025-07-02 10:45:07.572092+00
227,26.3,61,198,2025-07-02 10:45:39.778384+00
228,26.3,61,166,2025-07-02 10:45:55.126641+00
229,26.4,61,199,2025-07-02 10:46:27.196884+00
230,26.5,61,208,2025-07-02 10:46:42.969754+00
231,26.5,61,190,2025-07-02 10:47:14.687845+00
232,26.5,61,195,2025-07-02 10:47:30.047956+00
233,26.5,60,176,2025-07-02 10:48:02.199168+00
234,26.6,60,180,2025-07-02 10:48:17.513533+00
235,26.6,60,181,2025-07-02 10:48:49.780882+00
236,26.6,60,197,2025-07-02 10:49:05.149409+00
237,26.6,60,200,2025-07-02 10:49:37.331531+00
238,26.6,60,199,2025-07-02 10:49:52.682293+00
239,26.6,60,198,2025-07-02 10:50:24.742265+00
240,26.6,60,199,2025-07-02 10:50:40.052424+00
241,26.6,60,197,2025-07-02 10:51:12.040747+00
242,26.6,60,192,2025-07-02 10:51:27.383458+00
243,26.6,59,196,2025-07-02 10:52:00.472024+00
244,26.6,59,196,2025-07-02 10:52:14.950265+00
245,26.7,59,198,2025-07-02 10:52:47.006591+00
246,26.7,59,198,2025-07-02 10:53:02.320913+00
247,26.7,59,198,2025-07-02 10:53:34.801368+00
248,26.7,59,198,2025-07-02 10:53:50.107324+00
249,26.7,59,198,2025-07-02 10:54:22.217881+00
250,26.7,59,198,2025-07-02 10:54:37.54314+00
251,26.7,59,196,2025-07-02 10:55:09.647293+00
252,26.6,59,196,2025-07-02 10:55:24.917322+00
253,26.6,59,157,2025-07-02 10:55:56.957636+00
254,26.6,59,170,2025-07-02 10:56:12.246079+00
255,26.5,59,182,2025-07-02 10:56:44.371213+00
256,26.5,59,184,2025-07-02 10:56:59.728641+00
257,26.4,59,184,2025-07-02 10:57:32.265439+00
258,26.4,59,184,2025-07-02 10:57:47.131984+00
259,26.4,59,186,2025-07-02 10:58:19.229847+00
260,26.3,59,187,2025-07-02 10:58:34.504314+00
261,26.3,59,226,2025-07-02 10:59:06.65243+00
262,26.3,59,240,2025-07-02 10:59:21.963558+00
263,26.4,60,225,2025-07-02 10:59:54.026842+00
264,26.4,60,233,2025-07-02 11:00:33.56332+00
265,26.4,60,242,2025-07-02 11:00:48.927761+00
266,26.4,60,248,2025-07-02 11:01:21.286983+00
267,26.4,60,246,2025-07-02 11:01:36.519803+00
268,26.4,60,244,2025-07-02 11:02:08.720256+00
269,26.5,60,243,2025-07-02 11:02:24.064426+00
270,26.5,60,223,2025-07-02 11:02:56.979416+00
271,26.5,60,218,2025-07-02 11:03:11.518795+00
272,26.5,60,231,2025-07-02 11:03:43.738867+00
273,26.5,60,209,2025-07-02 11:03:59.108427+00
274,26.6,59,199,2025-07-02 11:04:31.213284+00
275,26.6,59,170,2025-07-02 11:04:46.432061+00
276,26.6,59,159,2025-07-02 11:05:18.494934+00
277,26.6,59,163,2025-07-02 11:05:33.795571+00
278,26.6,59,182,2025-07-02 11:06:07.405144+00
279,26.6,59,184,2025-07-02 11:06:21.255196+00
280,26.7,58,229,2025-07-02 11:38:03.314054+00
281,26.7,58,229,2025-07-02 11:38:17.568996+00
282,26.7,59,228,2025-07-02 11:38:50.049952+00
283,26.6,59,228,2025-07-02 11:39:05.314985+00
284,26.6,59,228,2025-07-02 11:39:37.869655+00
285,26.5,59,228,2025-07-02 11:39:53.119815+00
286,26.3,59,228,2025-07-02 11:40:25.794811+00
287,26.3,59,228,2025-07-02 11:40:41.139239+00
288,26.3,59,225,2025-07-02 11:41:14.974625+00
289,26.3,59,225,2025-07-02 11:41:29.913655+00
290,26.4,59,208,2025-07-02 11:42:02.327557+00
291,26.4,59,205,2025-07-02 11:42:17.416702+00
292,26.5,59,204,2025-07-02 11:42:49.529452+00
293,26.5,59,199,2025-07-02 11:43:06.164517+00
294,26.4,59,208,2025-07-02 11:43:41.448549+00
295,26.3,59,209,2025-07-02 11:43:56.144266+00
296,26,59,201,2025-07-02 11:44:39.095074+00
297,26,59,211,2025-07-02 11:44:54.459249+00
298,25.9,60,198,2025-07-02 11:45:26.413092+00
299,25.8,60,212,2025-07-02 11:45:41.782287+00
300,25.8,60,213,2025-07-02 11:46:13.819032+00
301,25.7,60,176,2025-07-02 11:46:29.067158+00
302,25.6,60,196,2025-07-02 11:47:38.912834+00
303,25.6,60,213,2025-07-02 11:47:54.188119+00
304,25.5,61,223,2025-07-02 11:48:27.293881+00
305,25.5,61,213,2025-07-02 11:48:41.520086+00
306,25.5,61,229,2025-07-02 11:49:13.749067+00
307,25.5,61,214,2025-07-02 11:49:29.210894+00
308,25.5,61,235,2025-07-02 11:50:01.6511+00
309,25.5,61,237,2025-07-02 11:50:16.906318+00
310,25.6,61,256,2025-07-02 11:50:49.067215+00
311,25.6,61,200,2025-07-02 11:51:04.436982+00
312,25.7,61,200,2025-07-02 11:51:36.705681+00
313,25.7,61,209,2025-07-02 11:51:52.045816+00
314,25.8,61,238,2025-07-02 11:52:24.198664+00
315,25.8,61,241,2025-07-02 11:52:39.622283+00
316,25.9,61,240,2025-07-02 11:53:11.86391+00
317,26,61,240,2025-07-02 11:53:27.087938+00
318,26,60,242,2025-07-02 11:53:59.647443+00
319,26,60,242,2025-07-02 11:54:14.527547+00
320,26,60,242,2025-07-02 11:54:47.970843+00
321,26,60,242,2025-07-02 11:55:03.440528+00
322,26,60,243,2025-07-02 11:55:36.152557+00
323,26,60,243,2025-07-02 11:55:50.780183+00
324,26,60,244,2025-07-02 11:56:23.098489+00
325,26,60,247,2025-07-02 11:56:38.241955+00
326,26,60,240,2025-07-02 11:57:10.514377+00
327,26,60,240,2025-07-02 11:57:25.760403+00
